Season,Player,Team,Pos,name,GSIS_ID
2016,Aaron Rodgers,GB,QB,A.Rodgers,00-0023459
2016,Alex Smith,KC,QB,A.Smith,00-0023436
2016,Andrew Luck,IND,QB,A.Luck,00-0029668
2016,Andy Dalton,CIN,QB,A.Dalton,00-0027973
2016,Ben Roethlisberger,PIT,QB,B.Roethlisberger,00-0022924
2016,Blaine Gabbert,SF,QB,B.Gabbert,00-0027948
2016,Blake Bortles,JAX,QB,B.Bortles,00-0031407
2016,Brett Hundley,GB,QB,B.Hundley,00-0031589
2016,Brian Hoyer,CHI,QB,B.Hoyer,00-0026625
2016,Brock Osweiler,HOU,QB,B.Osweiler,00-0029682
2016,Bryce Petty,NYJ,QB,B.Petty,00-0031568
2016,Cam Newton,CAR,QB,C.Newton,00-0027939
2016,Cardale Jones,BUF,QB,C.Jones,00-0033098
2016,Carson Palmer,ARI,QB,C.Palmer,00-0021429
2016,Carson Wentz,PHI,QB,C.Wentz,00-0032950
2016,Case Keenum,LA,QB,C.Keenum,00-0028986
2016,Charlie Whitehurst,CLE,QB,C.Whitehurst,00-0024296
2016,Chase Daniel,PHI,QB,C.Daniel,00-0026544
2016,Cody Kessler,CLE,QB,C.Kessler,00-0033104
2016,Colin Kaepernick,SF,QB,C.Kaepernick,00-0027974
2016,Connor Cook,OAK,QB,C.Cook,00-0032893
2016,Dak Prescott,DAL,QB,D.Prescott,00-0033077
2016,David Fales,CHI,QB,D.Fales,00-0031076
2016,Derek Anderson,CAR,QB,D.Anderson,00-0023645
2016,Derek Carr,OAK,QB,D.Carr,00-0031280
2016,Drew Brees,NO,QB,D.Brees,00-0020531
2016,Drew Stanton,ARI,QB,D.Stanton,00-0025430
2016,EJ Manuel,BUF,QB,E.Manuel,00-0030526
2016,Eli Manning,NYG,QB,E.Manning,00-0022803
2016,Geno Smith,NYJ,QB,G.Smith,00-0030565
2016,Jacoby Brissett,NE,QB,J.Brissett,00-0033119
2016,Jameis Winston,TB,QB,J.Winston,00-0031503
2016,Jared Goff,LA,QB,J.Goff,00-0033106
2016,Jay Cutler,CHI,QB,J.Cutler,00-0024226
2016,Jimmy Garoppolo,NE,QB,J.Garoppolo,00-0031345
2016,Joe Flacco,BAL,QB,J.Flacco,00-0026158
2016,Josh McCown,CLE,QB,J.McCown,00-0021206
2016,Kellen Clemens,SD,QB,K.Clemens,00-0024264
2016,Kevin Hogan,CLE,QB,K.Hogan,00-0032784
2016,Kirk Cousins,WAS,QB,K.Cousins,00-0029604
2016,Landry Jones,PIT,QB,L.Jones,00-0030524
2016,Marcus Mariota,TEN,QB,M.Mariota,00-0032268
2016,Mark Sanchez,DAL,QB,M.Sanchez,00-0026898
2016,Matt Barkley,CHI,QB,M.Barkley,00-0030533
2016,Matt Cassel,TEN,QB,M.Cassel,00-0023662
2016,Matt McGloin,OAK,QB,M.McGloin,00-0030419
2016,Matt Moore,MIA,QB,M.Moore,00-0025708
2016,Matt Ryan,ATL,QB,M.Ryan,00-0026143
2016,Matt Schaub,ATL,QB,M.Schaub,00-0022787
2016,Matthew Stafford,DET,QB,M.Stafford,00-0026498
2016,Mike Glennon,TB,QB,M.Glennon,00-0030520
2016,Nick Foles,KC,QB,N.Foles,00-0029567
2016,Paxton Lynch,DEN,QB,P.Lynch,00-0033108
2016,Philip Rivers,SD,QB,P.Rivers,00-0022942
2016,Robert Griffin III,CLE,QB,R.III,00-0029665
2016,Russell Wilson,SEA,QB,R.Wilson,00-0029263
2016,Ryan Fitzpatrick,NYJ,QB,R.Fitzpatrick,00-0023682
2016,Ryan Mallett,BAL,QB,R.Mallett,00-0028012
2016,Ryan Tannehill,MIA,QB,R.Tannehill,00-0029701
2016,Sam Bradford,MIN,QB,S.Bradford,00-0027854
2016,Scott Tolzien,IND,QB,S.Tolzien,00-0028595
2016,Sean Mannion,LA,QB,S.Mannion,00-0032245
2016,Shaun Hill,MIN,QB,S.Hill,00-0020679
2016,Tom Brady,NE,QB,T.Brady,00-0019596
2016,Tom Savage,HOU,QB,T.Savage,00-0031064
2016,Tony Romo,DAL,QB,T.Romo,00-0021678
2016,Trevone Boykin,SEA,QB,T.Boykin,00-0032462
2016,Trevor Siemian,DEN,QB,T.Siemian,00-0032156
2016,Tyrod Taylor,BUF,QB,T.Taylor,00-0028118
2016,Aaron Ripkowski,GB,FB,A.Ripkowski,00-0031612
2016,Adrian Peterson,MIN,RB,A.Peterson,00-0025394
2016,Akeem Hunt,HOU,RB,A.Hunt,00-0031743
2016,Alex Collins,SEA,RB,A.Collins,00-0032426
2016,Alfred Blue,HOU,RB,A.Blue,00-0031075
2016,Alfred Morris,DAL,RB,A.Morris,00-0029141
2016,Ameer Abdullah,DET,RB,A.Abdullah,00-0032104
2016,Andre Ellington,ARI,RB,A.Ellington,00-0030287
2016,Andre Williams,SD,RB,A.Williams,00-0031055
2016,Andy Janovich,DEN,FB,A.Janovich,00-0032956
2016,Antone Smith,TB,RB,A.Smith,00-0026855
2016,Antonio Andrews,TEN,RB,A.Andrews,00-0030789
2016,Arian Foster,MIA,RB,A.Foster,00-0026796
2016,Benny Cunningham,LA,RB,B.Cunningham,00-0029795
2016,Bilal Powell,NYJ,RB,B.Powell,00-0028064
2016,Bobby Rainey,NYG,RB,B.Rainey,00-0029384
2016,Brandon Bolden,NE,RB,B.Bolden,00-0029239
2016,Brandon Burks,NYJ,RB,B.Burks,00-0032844
2016,Brandon Wilds,NYJ,RB,B.Wilds,00-0032593
2016,Bronson Hill,JAX,RB,B.Hill,00-0032298
2016,C.J. Anderson,DEN,RB,C.Anderson,00-0029854
2016,C.J. Prosise,SEA,RB,C.Prosise,00-0032393
2016,C.J. Spiller,NYJ,RB,C.Spiller,00-0027861
2016,Cameron Artis-Payne,CAR,RB,C.Artis-Payne,00-0031599
2016,Carlos Hyde,SF,RB,C.Hyde,00-0031045
2016,Cedric Peerman,CIN,RB,C.Peerman,00-0026932
2016,Charcandrick West,KC,RB,C.West,00-0030668
2016,Charles Sims,TB,RB,C.Sims,00-0031390
2016,Chris Ivory,JAX,RB,C.Ivory,00-0027531
2016,Chris Johnson,ARI,RB,C.Johnson,00-0026164
2016,Chris Thompson,WAS,RB,C.Thompson,00-0030404
2016,Christine Michael,GB,RB,C.Michael,00-0030432
2016,Corey Grant,JAX,RB,C.Grant,00-0031731
2016,D.J. Foster,NE,RB,D.Foster,00-0032577
2016,Damien Williams,MIA,RB,D.Williams,00-0030874
2016,Daniel Lasco,NO,RB,D.Lasco,00-0032804
2016,Danny Woodhead,SD,RB,D.Woodhead,00-0026019
2016,Darren McFadden,DAL,RB,D.McFadden,00-0026144
2016,Darren Sproles,PHI,RB,D.Sproles,00-0023564
2016,David Johnson,ARI,RB,D.Johnson,00-0032187
2016,DeAndre Washington,OAK,RB,D.Washington,00-0032940
2016,DeAngelo Williams,PIT,RB,D.Williams,00-0024242
2016,DeMarco Murray,TEN,RB,D.Murray,00-0028009
2016,Denard Robinson,JAX,RB,D.Robinson,00-0030547
2016,Derek Watt,SD,FB,D.Watt,00-0032897
2016,Derrick Henry,TEN,RB,D.Henry,00-0032764
2016,Devonta Freeman,ATL,RB,D.Freeman,00-0031285
2016,Devontae Booker,DEN,RB,D.Booker,00-0032972
2016,Dion Lewis,NE,RB,D.Lewis,00-0028087
2016,Don Jackson,GB,RB,D.Jackson,00-0032636
